best_epoch,best_val_loss,blocks,board,channels,draws,dropout,epochs_run,games,kind,min_mae,o_agent,o_wins,params_approx,peak_top1,peak_top3,val_mae_at_best,val_top1_at_best,val_top3_at_best,value_hidden,x_agent,x_win_rate,x_wins
17,0.8777,5,5×5,64,,0.1,23,,training,0.13,,,~424k,77.1,83.1,0.13,75.3,83.1,32,,,
23,0.9055,5,6×6,64,,0.1,25,,training,0.127,,,~448k,75.4,80.2,0.132,75.4,80.1,32,,,
24,0.9257,8,7×7,96,,0.1,25,,training,0.221,,,~1489k,75.6,81.6,0.223,71.4,81.6,32,,,
,,,5×5,,0,,,30,match,,Medium,15,,,,,,,,Hard,0.5,15
,,,5×5,,1,,,30,match,,Random,5,,,,,,,,Hard,0.8,24
,,,5×5,,1,,,30,match,,Random,6,,,,,,,,Medium,0.767,23
,,,5×5,,15,,,30,match,,Heuristic,0,,,,,,,,Hard,0.5,15
,,,5×5,,15,,,30,match,,Heuristic,0,,,,,,,,Medium,0.5,15
,,,5×5,,0,,,30,match,,Minimax,30,,,,,,,,Hard,0.0,0
,,,5×5,,0,,,30,match,,Minimax,30,,,,,,,,Medium,0.0,0
,,,6×6,,0,,,30,match,,Medium,15,,,,,,,,Hard,0.5,15
,,,6×6,,0,,,30,match,,Random,0,,,,,,,,Hard,1.0,30
,,,6×6,,0,,,30,match,,Random,3,,,,,,,,Medium,0.9,27
,,,6×6,,0,,,30,match,,Heuristic,15,,,,,,,,Hard,0.5,15
,,,6×6,,0,,,30,match,,Heuristic,15,,,,,,,,Medium,0.5,15
,,,6×6,,0,,,30,match,,Minimax,15,,,,,,,,Hard,0.5,15
,,,6×6,,0,,,30,match,,Minimax,15,,,,,,,,Medium,0.5,15
,,,7×7,,0,,,30,match,,Medium,15,,,,,,,,Hard,0.5,15
,,,7×7,,1,,,30,match,,Random,5,,,,,,,,Hard,0.8,24
,,,7×7,,3,,,30,match,,Random,6,,,,,,,,Medium,0.7,21
,,,7×7,,0,,,30,match,,Heuristic,15,,,,,,,,Hard,0.5,15
,,,7×7,,0,,,30,match,,Heuristic,15,,,,,,,,Medium,0.5,15
,,,7×7,,0,,,30,match,,Minimax,30,,,,,,,,Hard,0.0,0
,,,7×7,,0,,,30,match,,Minimax,30,,,,,,,,Medium,0.0,0
,,,5×5,,0,,,20,match,,Hard-5(native),10,,,,,,,,Hard-6→5,0.5,10
,,,5×5,,0,,,20,match,,Hard-5(native),10,,,,,,,,Hard-7→5,0.5,10
,,,6×6,,0,,,20,match,,Hard-6(native),20,,,,,,,,Hard-5→6,0.0,0
,,,6×6,,0,,,20,match,,Hard-6(native),20,,,,,,,,Hard-7→6,0.0,0
,,,7×7,,0,,,20,match,,Hard-7(native),20,,,,,,,,Hard-5→7,0.0,0
,,,7×7,,0,,,20,match,,Hard-7(native),10,,,,,,,,Hard-6→7,0.5,10
